index,street_raw,street
00005.jpg,do. flower,flower
00010.jpg,west second,west
00033.jpg,west decond,west
00022.jpg,so. flower,flower
00014.jpg,swe,west
00031.jpg,west second,west
00021.jpg,-west second.,west
00034.jpg,do. i lower.,flower
00002.jpg,west second.,west
00019.jpg,west second.,west
00028.jpg,west second,west
00001.jpg,so. flower,flower
00025.jpg,"i
lower.",flower
00030.jpg,do. flower.,flower
00018.jpg,so. flower,flower
00004.jpg,west decond.,west
00020.jpg,so. i lower,flower
00026.jpg,west first.,west
00003.jpg,jo. i lower.,flower
00012.jpg,as. flower,flower
00032.jpg,south flower,flower
00008.jpg,flower,flower
00027.jpg,,west
00029.jpg,,west
00017.jpg,so. flower.,flower
00006.jpg,do. flower.,flower
00016.jpg,i low,flower
00023.jpg,do. i lower,flower
00009.jpg,i lower,flower
00000.jpg,flowe,flower
00007.jpg,south flower,flower
00024.jpg,so. i lower.,flower
00036.jpg,west second,west
00035.jpg,so. flower,flower
00062.jpg,jo. flower,flower
00068.jpg,so. i lower,flower
00064.jpg,so. flower,flower
00042.jpg,10. flower,flower
00060.jpg,so. flower,flower
00059.jpg,so. i lover,flower
00052.jpg,to. flower,flower
00056.jpg,"so. i love
ver",flower
00046.jpg,west second,west
00050.jpg,"so
flo",flower
00048.jpg,flower,flower
00070.jpg,so. flower,flower
00051.jpg,so. i lower,flower
00063.jpg,west zirst.,west
00037.jpg,"so. i lower.
e",flower
00040.jpg,so. flower,flower
00053.jpg,west second,west
00044.jpg,so. flower,flower
00045.jpg,so. flower,flower
00066.jpg,so. flower,flower
00065.jpg,west second,west
00055.jpg,west second,west
00057.jpg,west first,west
00049.jpg,so. i lowe,flower
00043.jpg,west second,west
00058.jpg,flower,flower
00069.jpg,flower,flower
00047.jpg,so. fluver,flower
00067.jpg,i lover,flower
00061.jpg,so. i lower,flower
00041.jpg,so. flower,flower
00038.jpg,west second,west
00071.jpg,so. flower,flower
00073.jpg,flower,flower
00078.jpg,so. i lower.,flower
00076.jpg,west second.,west
00083.jpg,"le
flower",flower
00079.jpg,lower,flower
00074.jpg,west second.,west
00096.jpg,do. ilower,flower
00098.jpg,so. i lower.,flower
00080.jpg,ve,west
00101.jpg,west second.,west
00097.jpg,west second,west
00088.jpg,"1o.
flower",flower
00094.jpg,flower.,flower
00075.jpg,flower,flower
00089.jpg,so. flower,flower
00084.jpg,flower,flower
00085.jpg,so. i lower.,flower
00090.jpg,so. flower.,flower
00095.jpg,west second.,west
00087.jpg,so. ilan,bunker hill ave
00091.jpg,,west
00092.jpg,so. i lower,flower
00102.jpg,jo. i lower.,flower
00103.jpg,west second,west
00099.jpg,south flower,flower
00082.jpg,flower,flower
00072.jpg,south flower,flower
00077.jpg,so. flower,flower
00093.jpg,sa. flower,flower
00081.jpg,10. i lower,flower
00086.jpg,so. i lower.,flower
00106.jpg,so. flower,flower
00107.jpg,lower,flower
00108.jpg,so. i lowe,flower
00104.jpg,do. flower,flower
00105.jpg,flower.,flower
00110.jpg,so. flower,flower
00109.jpg,west decond.,west
00126.jpg,so. flower,flower
00113.jpg,"le
flower",flower
00114.jpg,sa. flower,flower
00121.jpg,west first.,west
00124.jpg,so. i lower,flower
00133.jpg,do. i lower.,flower
00115.jpg,,west
00117.jpg,so. flower.,flower
00111.jpg,so. flower.,flower
00129.jpg,west second.,west
00139.jpg,flower,flower
00138.jpg,south flower,flower
00141.jpg,flower,flower
00131.jpg,west decond,west
00135.jpg,so. flower,flower
00130.jpg,so. flower,flower
00142.jpg,so. flower,flower
00134.jpg,west second,west
00116.jpg,do. flower.,flower
00140.jpg,west second,west
00143.jpg,west second,west
00125.jpg,,west
00120.jpg,west second,west
00132.jpg,to. flower,flower
00122.jpg,so. flower,flower
00119.jpg,do. ilower,flower
00128.jpg,west zirst.,west
00123.jpg,so. i lover,flower
00137.jpg,so. i lower,flower
00127.jpg,ve,west
00136.jpg,west second,west
00112.jpg,west second,west
00144.jpg,"i
lower.",flower
00146.jpg,jo. flower,flower
00150.jpg,west second,west
00147.jpg,10. flower,flower
00145.jpg,flower,flower
00149.jpg,so. flower,flower
00148.jpg,so. i lower.,flower
00165.jpg,so. flower,flower
00155.jpg,so. flower,flower
00169.jpg,west second.,west
00163.jpg,"so
flo",flower
00171.jpg,west second.,west
00177.jpg,flower,flower
00168.jpg,so. i lower.,flower
00158.jpg,so. i lower,flower
00153.jpg,so. flower,flower
00178.jpg,"so. i love
ver",flower
00151.jpg,"so. i lower.
e",flower
00160.jpg,west second,west
00174.jpg,swe,west
00157.jpg,do. i lower,flower
00154.jpg,flowe,flower
00159.jpg,south flower,flower
00173.jpg,do. flower.,flower
00152.jpg,west second,west
00167.jpg,west second,west
00181.jpg,so. i lower,flower
00179.jpg,so. ilan,bunker hill ave
00162.jpg,i lover,flower
00182.jpg,flower,flower
00161.jpg,flower,flower
00164.jpg,"1o.
flower",flower
00156.jpg,so. i lower.,flower
00176.jpg,so. i lower,flower
00180.jpg,so. i lower.,flower
00166.jpg,so. fluver,flower
00183.jpg,,west
00184.jpg,as. flower,flower
00185.jpg,10. i lower,flower
00199.jpg,so. i lower,flower
00188.jpg,west first,west
00186.jpg,flower,flower
00192.jpg,west second.,west
00196.jpg,so. i lower.,flower
00200.jpg,west second,west
00205.jpg,flower,flower
00198.jpg,west second.,west
00214.jpg,so. ilan,bunker hill ave
00187.jpg,so. i lower.,flower
00190.jpg,-west second.,west
00194.jpg,flower,flower
00210.jpg,so. flower,flower
00201.jpg,south flower,flower
00206.jpg,west second,west
00204.jpg,flower.,flower
00217.jpg,so. i lower,flower
00211.jpg,do. flower.,flower
00212.jpg,so. i lower.,flower
00207.jpg,west second,west
00197.jpg,so. flower,flower
00191.jpg,so. flower,flower
00193.jpg,so. flower,flower
00189.jpg,so. flower,flower
00203.jpg,west second,west
00213.jpg,as. flower,flower
00209.jpg,so. flower,flower
00208.jpg,so. flower,flower
00202.jpg,so. i lower.,flower
00216.jpg,jo. i lower.,flower
00195.jpg,i lover,flower
00215.jpg,so. flower,flower
00229.jpg,do. flower.,flower
00224.jpg,south flower,flower
00221.jpg,so. flower,flower
00236.jpg,so. flower,flower
00225.jpg,to. flower,flower
00226.jpg,sa. flower,flower
00230.jpg,so. flower,flower
00243.jpg,do. i lower,flower
00223.jpg,i low,flower
00222.jpg,do. i lower.,flower
00234.jpg,so. flower,flower
00228.jpg,,west
00232.jpg,so. i lower,flower
00218.jpg,west first,west
00233.jpg,so. flower,flower
00237.jpg,so. flower,flower
00227.jpg,jo. flower,flower
00220.jpg,flower,flower
00250.jpg,do. flower,flower
00235.jpg,flowe,flower
00249.jpg,flower,flower
00238.jpg,so. i lower.,flower
00247.jpg,,west
00245.jpg,so. i lower.,flower
00251.jpg,so. flower,flower
00246.jpg,ve,west
00239.jpg,do. ilower,flower
00248.jpg,10. i lower,flower
00241.jpg,flower,flower
00252.jpg,"1o.
flower",flower
00240.jpg,so. flower,flower
00242.jpg,"so. i love
ver",flower
00265.jpg,west zirst.,west
00256.jpg,"le
flower",flower
00261.jpg,so. i lowe,flower
00259.jpg,so. i lower,flower
00277.jpg,west second,west
00262.jpg,swe,west
00275.jpg,west second,west
00279.jpg,west second,west
00269.jpg,,west
00272.jpg,lower,flower
00253.jpg,i lower,flower
00271.jpg,so. flower,flower
00284.jpg,west second.,west
00274.jpg,west second,west
00268.jpg,so. i lower,flower
00255.jpg,so. flower.,flower
00273.jpg,"so
flo",flower
00276.jpg,west decond,west
00254.jpg,so. fluver,flower
00258.jpg,south flower,flower
00267.jpg,flower,flower
00278.jpg,so. flower.,flower
00264.jpg,west first.,west
00286.jpg,so. flower,flower
00285.jpg,so. i lover,flower
00263.jpg,flower,flower
00281.jpg,west second.,west
00260.jpg,"i
lower.",flower
00257.jpg,flower,flower
00270.jpg,"so. i lower.
e",flower
00266.jpg,10. flower,flower
00280.jpg,west second,west
00289.jpg,west second.,west
00290.jpg,west second.,west
00287.jpg,west second,west
00293.jpg,so. flower,flower
00292.jpg,-west second.,west
00295.jpg,west second,west
00291.jpg,west second,west
00296.jpg,do. ilower,flower
00310.jpg,flower.,flower
00302.jpg,lower,flower
00318.jpg,flower,flower
00320.jpg,so. i lowe,flower
00299.jpg,so. flower,flower
00314.jpg,west second.,west
00307.jpg,,west
00311.jpg,so. i lower.,flower
00327.jpg,so. flower,flower
00308.jpg,south flower,flower
00315.jpg,so. i lower.,flower
00326.jpg,west second,west
00316.jpg,flowe,flower
00325.jpg,south flower,flower
00309.jpg,10. flower,flower
00321.jpg,west second,west
00304.jpg,so. flower,flower
00313.jpg,so. flower.,flower
00303.jpg,west second,west
00298.jpg,so. flower,flower
00301.jpg,flower,flower
00322.jpg,,west
00323.jpg,sa. flower,flower
00324.jpg,west second,west
00306.jpg,west second.,west
00312.jpg,west second,west
00305.jpg,as. flower,flower
00317.jpg,so. i lower.,flower
00300.jpg,ve,west
00331.jpg,west second,west
00329.jpg,west decond,west
00328.jpg,do. i lower.,flower
00359.jpg,to. flower,flower
00352.jpg,i lover,flower
00346.jpg,so. flower,flower
00358.jpg,west second,west
00339.jpg,so. i lover,flower
00345.jpg,so. i lower,flower
00357.jpg,so. flower,flower
00338.jpg,so. fluver,flower
00335.jpg,west zirst.,west
00351.jpg,jo. flower,flower
00354.jpg,flower,flower
00342.jpg,flower,flower
00336.jpg,"le
flower",flower
00362.jpg,swe,west
00356.jpg,west first.,west
00350.jpg,west first,west
00334.jpg,south flower,flower
00348.jpg,jo. i lower.,flower
00333.jpg,so. i lower,flower
00355.jpg,,west
00332.jpg,do. flower.,flower
00344.jpg,"i
lower.",flower
00340.jpg,west second,west
00363.jpg,so. flower,flower
00337.jpg,west second,west
00361.jpg,so. flower,flower
00343.jpg,"1o.
flower",flower
00349.jpg,"so. i love
ver",flower
00360.jpg,so. i lower.,flower
00341.jpg,so. flower,flower
00353.jpg,so. flower,flower
00347.jpg,west second.,west
00369.jpg,west second.,west
00368.jpg,so. i lower,flower
00364.jpg,"so. i lower.
e",flower
00366.jpg,so. flower,flower
00365.jpg,west second,west
00386.jpg,so. i lower,flower
00393.jpg,west first,west
00390.jpg,flower,flower
00397.jpg,west first,west
00394.jpg,west first,west
00377.jpg,i lower,flower
00382.jpg,flower,flower
00392.jpg,flower,flower
00389.jpg,-west second.,west
00396.jpg,so. figueroa,figueroa
00387.jpg,so. flower,flower
00372.jpg,i low,flower
00380.jpg,so. i lower.,flower
00371.jpg,so. flower,flower
00376.jpg,so. flower,flower
00383.jpg,flower,flower
00374.jpg,west second,west
00395.jpg,fo. figueroa,figueroa
00381.jpg,so. i lower,flower
00379.jpg,do. flower.,flower
00378.jpg,"so
flo",flower
00370.jpg,so. flower.,flower
00375.jpg,do. flower,flower
00384.jpg,10. i lower,flower
00391.jpg,west second.,west
00373.jpg,do. i lower,flower
00385.jpg,so. ilan,bunker hill ave
00401.jpg,west first,west
00399.jpg,-west first,west
00402.jpg,do. figueroa.,figueroa
00400.jpg,west first,west
00398.jpg,so. digueroa.,figueroa
00403.jpg,so. digueroo.,figueroa
00417.jpg,west first,west
00424.jpg,west first.,west
00428.jpg,"10. figueron.
o.",figueroa
00408.jpg,west first.,west
00423.jpg,digueroa,figueroa
00420.jpg,so. digueroa,figueroa
00410.jpg,west first,west
00414.jpg,west first,west
00409.jpg,do. sigueroa,figueroa
00430.jpg,so. diqueron,figueroa
00426.jpg,west first.,west
00421.jpg,west first,west
00415.jpg,west first,west
00431.jpg,west first,west
00404.jpg,so. figueroa,figueroa
00411.jpg,30. figueroa.,figueroa
00405.jpg,so. fiqueroa.,figueroa
00413.jpg,so. fiqueroa.,figueroa
00427.jpg,west first,west
00407.jpg,"west
first",west
00422.jpg,west first,west
00419.jpg,west dicat.,west
00406.jpg,west first,west
00429.jpg,west first,west
00434.jpg,west first.,west
00416.jpg,west first,west
00418.jpg,weat first,west
00436.jpg,so. fiqueron.,figueroa
00432.jpg,west first,west
00425.jpg,50. figueroa.,figueroa
00412.jpg,so. diqueron,figueroa
00435.jpg,west first.,west
00438.jpg,west first,west
00437.jpg,west first.,west
00439.jpg,5o. figueroa.,figueroa
00440.jpg,west first,west
00462.jpg,west first,west
00451.jpg,west first.,west
00441.jpg,so. digueroa.,figueroa
00461.jpg,west first,west
00453.jpg,west first,west
00452.jpg,west first,west
00471.jpg,so. figueroa,figueroa
00464.jpg,west first,west
00463.jpg,10. digueroa.,figueroa
00473.jpg,west first,west
00467.jpg,west first,west
00447.jpg,west first,west
00450.jpg,-west first,west
00457.jpg,west first.,west
00469.jpg,west first,west
00448.jpg,so. fiqueroa.,figueroa
00472.jpg,west fiest,west
00442.jpg,west first,west
00465.jpg,west first,west
00460.jpg,west first,west
00468.jpg,50. figueroa.,figueroa
00456.jpg,west first,west
00446.jpg,so. fiqueroa.,figueroa
00455.jpg,west first.,west
00454.jpg,west first,west
00459.jpg,west first,west
00466.jpg,so. idqueroa.,figueroa
00443.jpg,west first,west
00470.jpg,so. figueroa,figueroa
00445.jpg,west first,west
00458.jpg,so. fiqueroa.,figueroa
00449.jpg,west dirst.,west
00474.jpg,west first.,west
00475.jpg,west first.,west
00476.jpg,so. digueroa,figueroa
00477.jpg,west first,west
00478.jpg,west first,west
00479.jpg,so. figueroa.,figueroa
00490.jpg,west first,west
00504.jpg,"west.
first",west
00480.jpg,west first,west
00486.jpg,west first,west
00499.jpg,west first,west
00485.jpg,west first,west
00497.jpg,"west
irst",west
00496.jpg,flower,flower
00487.jpg,west firat.,west
00489.jpg,so. figueroa,figueroa
00488.jpg,so. figueroa.,figueroa
00502.jpg,so. flower.,flower
00494.jpg,1o. figueroa,figueroa
00503.jpg,west first,west
00508.jpg,figueroa,figueroa
00500.jpg,so. flower,flower
00491.jpg,so. fiqueron,figueroa
00505.jpg,first,figueroa
00495.jpg,west first.,west
00492.jpg,west first,west
00484.jpg,-west first,west
00483.jpg,digueroa,figueroa
00498.jpg,flower,flower
00509.jpg,so. flower,flower
00501.jpg,so 7 lower,flower
00493.jpg,so. flower,flower
00482.jpg,west first,west
00507.jpg,flower.,flower
00481.jpg,west first,west
00506.jpg,west first,west
00510.jpg,"west
first",west
00511.jpg,jo. i lower,flower
00513.jpg,so. flower.,flower
00514.jpg,west first,west
00512.jpg,west first,west
00522.jpg,0. flowe,flower
00532.jpg,do. fiqueroa,figueroa
00528.jpg,"so
lower.",flower
00543.jpg,flower,flower
00523.jpg,figueroa,figueroa
00520.jpg,so. flower,flower
00524.jpg,west first.,west
00540.jpg,"west.
first",west
00545.jpg,west first.,west
00517.jpg,"west
first",west
00548.jpg,po flower.,flower
00519.jpg,so. figueroa.,figueroa
00538.jpg,i lower,flower
00541.jpg,so flower.,flower
00539.jpg,west first,west
00537.jpg,west first.,west
00521.jpg,west first,west
00549.jpg,west first,west
00525.jpg,so. flower,flower
00533.jpg,flower.,flower
00531.jpg,west first,west
00529.jpg,west first,west
00534.jpg,west first,west
00527.jpg,lower.,flower
00535.jpg,so. diqueroa.,figueroa
00516.jpg,so. flower,flower
00546.jpg,lower,flower
00515.jpg,so figueroa.,figueroa
00526.jpg,west first,west
00542.jpg,west first,west
00547.jpg,west first,west
00554.jpg,so. i lower.,flower
00551.jpg,so. figueroa.,figueroa
00557.jpg,figuero,figueroa
00553.jpg,so. i lower.,flower
00550.jpg,"0
flower",flower
00556.jpg,so flower,flower
00552.jpg,so. i lewer.,flower
00555.jpg,5o. i lower.,flower
00536.jpg,6. flowe,flower
00570.jpg,"flow
ower",flower
00558.jpg,eo. i lower.,flower
00571.jpg,west first.,west
00567.jpg,west first,west
00574.jpg,so flower,flower
00564.jpg,"west
first",west
00561.jpg,west first,west
00573.jpg,so. figueroa.,figueroa
00576.jpg,flower.,flower
00579.jpg,so. i lower.,flower
00577.jpg,west first,west
00565.jpg,west first,west
00578.jpg,flower.,flower
00568.jpg,"2 flower
7",flower
00559.jpg,"""west first.",west
00589.jpg,west first,west
00581.jpg,west first.,west
00569.jpg,west first,west
00583.jpg,flower,flower
00586.jpg,"so, flower",flower
00585.jpg,flower,flower
00588.jpg,"so. fiqueron.
7",figueroa
