index,street_raw,street,race_of_household
00005.jpg,do. flower,flower,white
00010.jpg,west second,west,white
00033.jpg,west decond,west,white
00022.jpg,so. flower,flower,mexican
00014.jpg,swe,west,white
00031.jpg,west second,west,white
00021.jpg,-west second.,west,white
00034.jpg,do. i lower.,flower,white
00002.jpg,west second.,west,white
00019.jpg,west second.,west,white
00028.jpg,west second,west,white
00001.jpg,so. flower,flower,white
00025.jpg,"i
lower.",flower,white
00030.jpg,do. flower.,flower,mexican
00018.jpg,so. flower,flower,white
00004.jpg,west decond.,west,white
00020.jpg,so. i lower,flower,white
00026.jpg,west first.,west,white
00003.jpg,jo. i lower.,flower,white
00012.jpg,as. flower,flower,white
00032.jpg,south flower,flower,white
00008.jpg,flower,flower,white
00027.jpg,,west,white
00029.jpg,,west,white
00017.jpg,so. flower.,flower,white
00006.jpg,do. flower.,flower,white
00016.jpg,i low,flower,white
00023.jpg,do. i lower,flower,white
00009.jpg,i lower,flower,white
00000.jpg,flowe,flower,white
00007.jpg,south flower,flower,white
00024.jpg,so. i lower.,flower,white
00036.jpg,west second,west,white
00035.jpg,so. flower,flower,white
00062.jpg,jo. flower,flower,white
00068.jpg,so. i lower,flower,white
00064.jpg,so. flower,flower,white
00042.jpg,10. flower,flower,white
00060.jpg,so. flower,flower,white
00059.jpg,so. i lover,flower,white
00052.jpg,to. flower,flower,white
00056.jpg,"so. i love
ver",flower,white
00046.jpg,west second,west,white
00050.jpg,"so
flo",flower,white
00048.jpg,flower,flower,white
00070.jpg,so. flower,flower,white
00051.jpg,so. i lower,flower,white
00063.jpg,west zirst.,west,white
00037.jpg,"so. i lower.
e",flower,white
00040.jpg,so. flower,flower,white
00053.jpg,west second,west,white
00044.jpg,so. flower,flower,white
00045.jpg,so. flower,flower,white
00066.jpg,so. flower,flower,white
00065.jpg,west second,west,white
00055.jpg,west second,west,white
00057.jpg,west first,west,white
00049.jpg,so. i lowe,flower,white
00043.jpg,west second,west,white
00058.jpg,flower,flower,white
00069.jpg,flower,flower,white
00047.jpg,so. fluver,flower,white
00067.jpg,i lover,flower,white
00061.jpg,so. i lower,flower,white
00041.jpg,so. flower,flower,white
00038.jpg,west second,west,white
00071.jpg,so. flower,flower,white
00073.jpg,flower,flower,white
00078.jpg,so. i lower.,flower,mexican
00076.jpg,west second.,west,white
00083.jpg,"le
flower",flower,white
00079.jpg,lower,flower,white
00074.jpg,west second.,west,white
00096.jpg,do. ilower,flower,white
00098.jpg,so. i lower.,flower,white
00080.jpg,ve,west,white
00101.jpg,west second.,west,white
00097.jpg,west second,west,white
00088.jpg,"1o.
flower",flower,white
00094.jpg,flower.,flower,white
00075.jpg,flower,flower,white
00089.jpg,so. flower,flower,white
00084.jpg,flower,flower,white
00085.jpg,so. i lower.,flower,white
00090.jpg,so. flower.,flower,white
00095.jpg,west second.,west,white
00087.jpg,so. ilan,bunker hill ave,white
00091.jpg,,west,white
00092.jpg,so. i lower,flower,white
00102.jpg,jo. i lower.,flower,white
00103.jpg,west second,west,white
00099.jpg,south flower,flower,white
00082.jpg,flower,flower,white
00072.jpg,south flower,flower,white
00077.jpg,so. flower,flower,white
00093.jpg,sa. flower,flower,mexican
00081.jpg,10. i lower,flower,white
00086.jpg,so. i lower.,flower,white
00106.jpg,so. flower,flower,white
00107.jpg,lower,flower,white
00108.jpg,so. i lowe,flower,white
00104.jpg,do. flower,flower,white
00105.jpg,flower.,flower,white
00110.jpg,so. flower,flower,white
00109.jpg,west decond.,west,white
00126.jpg,so. flower,flower,white
00113.jpg,"le
flower",flower,white
00114.jpg,sa. flower,flower,mexican
00121.jpg,west first.,west,white
00124.jpg,so. i lower,flower,white
00133.jpg,do. i lower.,flower,white
00115.jpg,,west,white
00117.jpg,so. flower.,flower,white
00111.jpg,so. flower.,flower,white
00129.jpg,west second.,west,white
00139.jpg,flower,flower,white
00138.jpg,south flower,flower,white
00141.jpg,flower,flower,white
00131.jpg,west decond,west,white
00135.jpg,so. flower,flower,white
00130.jpg,so. flower,flower,white
00142.jpg,so. flower,flower,white
00134.jpg,west second,west,white
00116.jpg,do. flower.,flower,white
00140.jpg,west second,west,white
00143.jpg,west second,west,white
00125.jpg,,west,white
00120.jpg,west second,west,white
00132.jpg,to. flower,flower,white
00122.jpg,so. flower,flower,mexican
00119.jpg,do. ilower,flower,white
00128.jpg,west zirst.,west,white
00123.jpg,so. i lover,flower,white
00137.jpg,so. i lower,flower,white
00127.jpg,ve,west,white
00136.jpg,west second,west,white
00112.jpg,west second,west,white
00144.jpg,"i
lower.",flower,white
00146.jpg,jo. flower,flower,white
00150.jpg,west second,west,white
00147.jpg,10. flower,flower,white
00145.jpg,flower,flower,white
00149.jpg,so. flower,flower,white
00148.jpg,so. i lower.,flower,white
00165.jpg,so. flower,flower,white
00155.jpg,so. flower,flower,white
00169.jpg,west second.,west,white
00163.jpg,"so
flo",flower,white
00171.jpg,west second.,west,white
00177.jpg,flower,flower,white
00168.jpg,so. i lower.,flower,white
00158.jpg,so. i lower,flower,white
00153.jpg,so. flower,flower,white
00178.jpg,"so. i love
ver",flower,white
00151.jpg,"so. i lower.
e",flower,white
00160.jpg,west second,west,white
00174.jpg,swe,west,white
00157.jpg,do. i lower,flower,white
00154.jpg,flowe,flower,white
00159.jpg,south flower,flower,white
00173.jpg,do. flower.,flower,mexican
00152.jpg,west second,west,white
00167.jpg,west second,west,white
00181.jpg,so. i lower,flower,white
00179.jpg,so. ilan,bunker hill ave,white
00162.jpg,i lover,flower,white
00182.jpg,flower,flower,white
00161.jpg,flower,flower,white
00164.jpg,"1o.
flower",flower,white
00156.jpg,so. i lower.,flower,white
00176.jpg,so. i lower,flower,white
00180.jpg,so. i lower.,flower,white
00166.jpg,so. fluver,flower,white
00183.jpg,,west,white
00184.jpg,as. flower,flower,white
00185.jpg,10. i lower,flower,white
00199.jpg,so. i lower,flower,white
00188.jpg,west first,west,white
00186.jpg,flower,flower,white
00192.jpg,west second.,west,white
00196.jpg,so. i lower.,flower,white
00200.jpg,west second,west,white
00205.jpg,flower,flower,white
00198.jpg,west second.,west,white
00214.jpg,so. ilan,bunker hill ave,white
00187.jpg,so. i lower.,flower,mexican
00190.jpg,-west second.,west,white
00194.jpg,flower,flower,white
00210.jpg,so. flower,flower,white
00201.jpg,south flower,flower,white
00206.jpg,west second,west,white
00204.jpg,flower.,flower,white
00217.jpg,so. i lower,flower,white
00211.jpg,do. flower.,flower,white
00212.jpg,so. i lower.,flower,white
00207.jpg,west second,west,white
00197.jpg,so. flower,flower,white
00191.jpg,so. flower,flower,white
00193.jpg,so. flower,flower,white
00189.jpg,so. flower,flower,white
00203.jpg,west second,west,white
00213.jpg,as. flower,flower,white
00209.jpg,so. flower,flower,white
00208.jpg,so. flower,flower,white
00202.jpg,so. i lower.,flower,white
00216.jpg,jo. i lower.,flower,white
00195.jpg,i lover,flower,white
00215.jpg,so. flower,flower,white
00229.jpg,do. flower.,flower,mexican
00224.jpg,south flower,flower,white
00221.jpg,so. flower,flower,white
00236.jpg,so. flower,flower,white
00225.jpg,to. flower,flower,white
00226.jpg,sa. flower,flower,mexican
00230.jpg,so. flower,flower,white
00243.jpg,do. i lower,flower,white
00223.jpg,i low,flower,white
00222.jpg,do. i lower.,flower,white
00234.jpg,so. flower,flower,mexican
00228.jpg,,west,white
00232.jpg,so. i lower,flower,white
00218.jpg,west first,west,white
00233.jpg,so. flower,flower,white
00237.jpg,so. flower,flower,white
00227.jpg,jo. flower,flower,white
00220.jpg,flower,flower,white
00250.jpg,do. flower,flower,white
00235.jpg,flowe,flower,white
00249.jpg,flower,flower,white
00238.jpg,so. i lower.,flower,white
00247.jpg,,west,white
00245.jpg,so. i lower.,flower,mexican
00251.jpg,so. flower,flower,white
00246.jpg,ve,west,white
00239.jpg,do. ilower,flower,white
00248.jpg,10. i lower,flower,white
00241.jpg,flower,flower,white
00252.jpg,"1o.
flower",flower,white
00240.jpg,so. flower,flower,white
00242.jpg,"so. i love
ver",flower,white
00265.jpg,west zirst.,west,white
00256.jpg,"le
flower",flower,white
00261.jpg,so. i lowe,flower,white
00259.jpg,so. i lower,flower,white
00277.jpg,west second,west,white
00262.jpg,swe,west,white
00275.jpg,west second,west,white
00279.jpg,west second,west,white
00269.jpg,,west,white
00272.jpg,lower,flower,white
00253.jpg,i lower,flower,white
00271.jpg,so. flower,flower,white
00284.jpg,west second.,west,white
00274.jpg,west second,west,white
00268.jpg,so. i lower,flower,white
00255.jpg,so. flower.,flower,white
00273.jpg,"so
flo",flower,white
